username,display_name,follower_count,likes_count,video_count,region_code,average_likes,engagement_rate,follower_tier,follower_count_growth (%),likes_count_growth (%),video_count_growth
jdpantoja,JD Pantoja,632783,1223915504,906,MX,1350900.1147902869,213.4855258106313,Macro-influencer,-0.44059337877281785,0.4178742718173787,9.0
vhackerr,Vinnie,15200355,1104959052,2359,US,468401.4633319203,3.0815166049208744,Celebrity,-0.43254252943434546,0.08299185371079254,7.0
fadiljaidi,Fadil Jaidi,16072453,565682270,521,ID,1085762.5143953934,6.75542503932283,Celebrity,0.42045853237212766,2.0116092731702553,8.0
seventeen17_official,SEVENTEEN,16087659,908422844,1267,KR,716987.2486187845,4.456753146115196,Celebrity,2.3853501618849577,1.773234799894574,8.0
sucss.s,Açucena Guirra,14802798,378904555,499,BR,759327.7655310621,5.129623234276805,Celebrity,3.1736770305181494,7.257602907412924,15.0
adrianbliss,Adrian Bliss,7774817,215679715,159,GB,1356476.1949685535,17.447049814401463,Mega-influencer,-0.04783392329362865,0.2172081876128221,6.0
deborahyowa,Deborah yowa,18032173,342232228,660,FR,518533.6787878788,2.8756028393687147,Celebrity,-0.05948811604680146,0.07504699411301498,0.0
stephaniebeatriz,Stephanie Beatriz,1396631,11381300,48,US,237110.41666666666,16.97731302446148,Mega-influencer,-0.07016885634072278,0.07124845140713275,0.0
candrasptr_,1️⃣4️⃣,218,14415,22,ID,655.2272727272727,300.56296914095077,Emerging,13.302752293577981,70.07977800901838,3.0
vinnyguadagnino,vinnyguadagnino,3644174,49799969,154,US,323376.4220779221,8.87379203292494,Mega-influencer,-0.025767156013955426,0.38057654212596,2.0
tydollasign,Ty Dolla $ign,986673,7718522,123,US,62752.21138211382,6.359980599663092,Macro-influencer,0.34509913618797716,0.14254024280814384,0.0
vanessalopesr,Vanessa Lopes,32174818,1222683853,3264,BR,374596.7686887255,1.16425450701454,Celebrity,0.1872582464957533,0.745357925324626,68.0
tifannylm,STEFF,10305928,369659906,701,MX,527332.2482168331,5.116785681181094,Celebrity,0.8783100367089698,3.228613059269674,35.0
lelepons,Lele Pons,33160817,839412684,672,US,1249126.017857143,3.7668734695443207,Celebrity,0.15388945332679832,1.3602803743194332,9.0
jakefellman,Jake Fellman,13709257,366578167,524,US,699576.6545801527,5.102950908135669,Celebrity,-0.19025101068569944,0.2336202963227758,4.0
thoriqhal,thariqhalilintar,5839722,148517341,362,ID,410268.89779005526,7.025486791837955,Mega-influencer,0.663935714748065,2.8162994111239845,14.0
kallmekris,Kris HC,50778887,2456656856,1956,US,1255959.537832311,2.473389260840457,Celebrity,-0.05108422325207719,0.22767673011960934,17.0
isaiahgarza,Isaiah Garza,9131057,250573507,193,US,1298308.3264248704,14.218598421024755,Mega-influencer,0.29700833101797525,0.37569773886750124,4.0
00h.88m,Gui,3642913,152866049,905,BR,168912.76132596686,4.6367498023138864,Mega-influencer,-0.5478033650542848,0.025158627603438614,2.0
soydekko,Soydekko,6864284,112233975,404,CO,277806.86881188117,4.047135415898893,Mega-influencer,-0.42665775483648405,0.5225823998481743,10.0
thelivingtombstone,The Living Tombstone,2018930,14763428,109,US,135444.29357798165,6.708716675564861,Mega-influencer,0.8867568464483662,1.1616678728002738,9.0
_monaalawi,mona alawi,15981597,193908114,337,PH,575394.997032641,3.6003598203148344,Celebrity,0.3675352344324538,0.5959858905130705,3.0
uncletics,Uncle Tics,4660717,110592454,1009,NZ,109606.0,2.3516982472868446,Mega-influencer,-0.015169339824752286,0.398525382210978,10.0
agc.andy,andy,5554736,224810644,570,US,394404.63859649125,7.100330935556455,Mega-influencer,0.3473792453862794,0.49655300128938734,2.0
dima_maslen,Дмитрий Масленников,7872209,139366517,201,RU,693365.7562189054,8.807766107567844,Mega-influencer,0.7924840410105982,1.3543073620760717,4.0
nicocaponecomedy,nicocapone.comedy,28831149,1195918321,1410,CH,848169.0219858156,2.9418495322049623,Celebrity,0.34930969972788806,0.6113844793251562,9.0
mrbeast,MrBeast,118843321,1213165818,414,US,2930352.217391304,2.4657273061153386,Celebrity,0.17651980627501987,0.5437910384646198,1.0
billlnai,nailea,8601098,327384405,80,US,4092305.0625,47.57886798290172,Mega-influencer,-0.20349727441775456,0.5203097563550714,4.0
give_my_oscar,give_my_oscar,2517423,41449013,138,RU,300355.1666666667,11.931056745992496,Mega-influencer,0.44188044679022953,1.035325014856204,2.0
