Instagram name, Name,Subscribers,Audience country,"Authentic engagement
","Engagement average
",Category_1,Category_2,subs_tier,engagement_rate
_hakkencoser_,Hakken 八犬,3700000.0,United States,511800.0,625400.0,Photography,Modeling,Mega-influencer,16.9027027027027
juliabarretto,Julia,11200000.0,Philippines,159300.0,203700.0,Cinema & Actors/actresses,Lifestyle,Celebrity,1.81875
bugatti,BUGATTI,16700000.0,United States,100800.0,136400.0,Cars & Motorbikes,Luxury,Celebrity,0.8167664670658683
joerogan,Joe Rogan,15600000.0,United States,105500.0,147200.0,Humor & Fun & Happiness,Cinema & Actors/actresses,Celebrity,0.9435897435897436
mccabelinho,LITTLE HAIR,5400000.0,Brazil,218900.0,431900.0,Lifestyle,,Mega-influencer,7.9981481481481485
strangehuman,nova,4300000.0,United States,0.0,540100.0,Lifestyle,,Mega-influencer,12.56046511627907
tontawan,ตู / t u 🌻(•ө•)ෆ⃛,3800000.0,Thailand,459100.0,603800.0,Beauty,Lifestyle,Mega-influencer,15.889473684210527
danielricciardo,Daniel Ricciardo,7300000.0,United States,238300.0,309400.0,Racing Sports,,Mega-influencer,4.238356164383561
ginaindelicada,Gina Indelicada,11300000.0,Brazil,97300.0,199400.0,Humor & Fun & Happiness,,Celebrity,1.7646017699115044
tovinothomas,Tovino⚡️Thomas,7000000.0,India,179100.0,321700.0,Cinema & Actors/actresses,,Mega-influencer,4.595714285714286
timatiofficial,13,18500000.0,Russia,91500.0,121400.0,Fitness & Gym,Lifestyle,Celebrity,0.6562162162162162
jayshetty,Jay Shetty,11600000.0,United States,152500.0,192600.0,Literature & Journalism,Trainers & Coaches,Celebrity,1.660344827586207
camilacoelho,CAMILA COELHO,9900000.0,Brazil,107000.0,228800.0,Shows,,Mega-influencer,2.311111111111111
becaa_barreto,Rebeca 🌙,9900000.0,Brazil,119800.0,228600.0,Lifestyle,,Mega-influencer,2.309090909090909
prideofgypsies,Jason Momoa,17100000.0,United States,101300.0,130000.0,Cinema & Actors/actresses,,Celebrity,0.7602339181286549
raffinagita1717,Raffi Ahmad and Nagita Slavina,64000000.0,Indonesia,23800.0,34800.0,Shows,,Celebrity,0.054375
artmodel.one,Юлечка💖Digital Art,7200000.0,India,241600.0,313500.0,,,Mega-influencer,4.354166666666667
brycehall,Bryce Hall,7200000.0,United States,242100.0,311000.0,,,Mega-influencer,4.319444444444445
silambarasantrofficial,Silambarasan TR,10200000.0,India,169600.0,216600.0,Shows,Lifestyle,Celebrity,2.123529411764706
bowerjamie,ᴊᴀᴍɪᴇ ᴄᴀᴍᴘʙᴇʟʟ ʙᴏᴡᴇʀ,5500000.0,Italy,302600.0,403400.0,Cinema & Actors/actresses,,Mega-influencer,7.334545454545455
jordialbaoficial,Jordi Alba,14600000.0,Spain,103900.0,150200.0,Sports with a ball,,Celebrity,1.0287671232876712
violets.tv,Violet Summers,13800000.0,Italy,118000.0,162200.0,Adult content,,Celebrity,1.1753623188405797
nameisnani,Nani,5300000.0,India,387200.0,418000.0,Humor & Fun & Happiness,Cinema & Actors/actresses,Mega-influencer,7.886792452830188
tommyinnit,TommyInnit,3500000.0,France,567800.0,640400.0,Shows,Cinema & Actors/actresses,Mega-influencer,18.297142857142855
porsche,Porsche,26800000.0,United States,63500.0,81200.0,Cars & Motorbikes,,Celebrity,0.3029850746268657
lynaritaa,Lyna Perez,9000000.0,United States,186700.0,246700.0,Lifestyle,,Mega-influencer,2.741111111111111
tarasutaria,TARA💫,8100000.0,India,215700.0,271700.0,Cinema & Actors/actresses,,Mega-influencer,3.354320987654321
thibautcourtois,Thibaut Courtois,11000000.0,Spain,135200.0,196300.0,Sports with a ball,,Celebrity,1.7845454545454544
rubyrose,Ruby Rose,20100000.0,United States,82000.0,108300.0,Modeling,,Celebrity,0.5388059701492537
joesthetics,Jo Lindner,7600000.0,India,190000.0,289600.0,Fitness & Gym,,Mega-influencer,3.8105263157894735
brfootball,Bleacher Report Football,12600000.0,United States,105700.0,170900.0,Sports with a ball,,Celebrity,1.3563492063492064
kaka,Kaká,18800000.0,Brazil,70200.0,114700.0,Sports with a ball,,Celebrity,0.6101063829787234
therealjosephmorgan,Joseph Morgan,8000000.0,Brazil,219800.0,275100.0,Cinema & Actors/actresses,Lifestyle,Mega-influencer,3.43875
marioruiz,Mario Ruiz,6200000.0,Mexico,224100.0,349700.0,Lifestyle,,Mega-influencer,5.640322580645162
laurenjauregui,Lauren Jauregui,10800000.0,United States,135900.0,200700.0,,,Celebrity,1.8583333333333334
tejasswiprakash,Tejasswi Prakash,6300000.0,India,304400.0,376700.0,Fashion,Beauty,Mega-influencer,5.979365079365079
shahinsamadpoor,Shahin Samad poor شاهین صمدپور,4700000.0,Iran,360500.0,475900.0,Literature & Journalism,Cinema & Actors/actresses,Mega-influencer,10.125531914893617
michelle_lewin,Michelle Lewin,15100000.0,United States,101600.0,143400.0,Fitness & Gym,,Celebrity,0.9496688741721855
mb459,Mario Balotelli Barwuah 🇮🇹🇬🇭⚽️,10500000.0,Turkey,140700.0,206000.0,Sports with a ball,,Celebrity,1.9619047619047618
bighit_exhibition,2022 BTS EXHIBITION : Proof,5600000.0,Indonesia,310300.0,384600.0,,,Mega-influencer,6.867857142857143
mario_houses,Mario Casas,7000000.0,Spain,210100.0,311000.0,Modeling,Cinema & Actors/actresses,Mega-influencer,4.442857142857143
valeyellow46,Valentino Rossi,14100000.0,Indonesia,115600.0,151000.0,Racing Sports,,Celebrity,1.070921985815603
jeremyrenner,Jeremy Renner,17900000.0,United States,99800.0,119300.0,Shows,Cinema & Actors/actresses,Celebrity,0.6664804469273743
leeyoum262,이유미,7500000.0,South Korea,235500.0,288500.0,Lifestyle,,Mega-influencer,3.8466666666666667
choquei,CHOQUEI,17500000.0,Brazil,39800.0,124100.0,Literature & Journalism,,Celebrity,0.7091428571428572
lalioficial,LALI❤️‍🔥,11000000.0,Argentina,136000.0,194600.0,,,Celebrity,1.769090909090909
naisaalifiayuriza,Naisa Alifia Yuriza,9900000.0,Indonesia,194900.0,218300.0,Lifestyle,,Mega-influencer,2.205050505050505
francety,Francia James,11400000.0,India,144800.0,190000.0,Adult content,,Celebrity,1.6666666666666667
aidanrgallagher,Aidan R Gallagher,7700000.0,Mexico,233200.0,280600.0,,,Mega-influencer,3.6441558441558444
leosantana,O GIGANTE,17900000.0,Brazil,63700.0,119500.0,,,Celebrity,0.6675977653631285
