Date,Views,Likes
2020-07-12,91165,2063
2020-07-13,191147,6189
2020-07-13,71321,1369
2020-07-14,1086571,14325
2020-07-14,92509,1822
2020-07-15,385239,7651
2020-07-15,47172,1253
2020-07-16,566475,19906
2020-07-16,1096020,18633
2020-07-16,109410,2445
2020-07-17,91683,1660
2020-07-17,1139469,23447
2020-07-18,75098,1576
2020-07-18,49775,1455
2020-07-19,44923,1453
2020-07-19,73675,1857
2020-07-20,35046,1120
2020-07-20,101008,6317
2020-07-21,88736,2468
2020-07-21,101751,3569
2020-07-22,94461,1929
2020-07-22,202303,3623
2020-07-23,31792,776
2020-07-23,166321,2334
2020-07-24,296992,7943
2020-07-24,62735,1181
2020-07-25,121300,3271
2020-07-25,1937574,31397
2020-07-26,1628994,26161
2020-07-26,675678,9630
2020-07-27,510388,7003
2020-07-28,330612,8931
2020-07-29,75189,1721
2020-07-30,105473,2439
2020-07-30,66399,1489
2020-07-31,2473525,45114
2020-07-31,150740,4195
2020-08-01,615894,9100
2020-08-02,545090,8060
2020-08-02,362803,6178
2020-08-03,1081986,20622
2020-08-04,251699,5524
2020-08-04,72158,1852
2020-08-05,384002,9501
2020-08-05,994349,23420
2020-08-06,67079,1723
2020-08-07,84181,2067
2020-08-07,64852,1512
2020-08-09,48978,981
2020-08-09,73284,2585
2020-08-10,154269,2999
2020-08-10,46150,905
2020-08-10,98330,2904
2020-08-11,66909,1560
2020-08-11,29887,673
2020-08-12,88689,2164
2020-08-12,33544,614
2020-08-13,36295,959
2020-08-13,249849,5181
2020-08-13,37336,744
2020-08-14,3723153,77421
2020-08-15,32178,796
2020-08-16,78535,1554
2020-08-16,215515,3178
2020-08-17,187250,1524
2020-08-17,36330,1184
2020-08-18,25894,589
2020-08-18,215922,6531
2020-08-18,56965,878
2020-08-19,154972,5939
2020-08-19,41514,950
2020-08-19,1052634,17284
2020-08-20,53063,983
2020-08-20,34387,955
2020-08-20,43702,1104
2020-08-21,41542,1154
2020-08-21,29804,437
2020-08-21,120550,3813
2020-08-22,62305,1979
2020-08-22,385878,8083
2020-08-23,48768,1121
2020-08-23,268883,5212
2020-08-24,54079,1237
2020-08-24,61738,1226
2020-08-25,61859,2190
2020-08-25,97927,1749
2020-08-25,76897,2107
2020-08-26,32205,837
2020-08-26,98497,2841
2020-08-26,93758,2317
2020-08-27,57559,1167
2020-08-27,209160,10918
2020-08-28,23654,596
2020-08-28,193564,3601
2020-08-29,87866,2318
2020-08-30,70317,2864
2020-08-30,139993,2594
2020-08-30,38395,822
2020-08-31,104096,3731
2020-08-31,93550,2544
2020-09-01,176814,3096
2020-09-01,105627,2797
2020-09-02,424036,6570
2020-09-02,202308,4507
2020-09-03,178639,2503
2020-09-04,162314,3038
2020-09-04,60178,1355
2020-09-04,53181,1238
2020-09-05,359790,4294
2020-09-06,1442430,36678
2020-09-06,2721154,38264
2020-09-07,269130,7959
2020-09-07,764639,13368
2020-09-08,705001,16128
2020-09-08,49848,984
2020-09-09,123867,2429
2020-09-09,118838,3276
2020-09-10,285576,9664
2020-09-10,62838,1300
2020-09-11,389527,3972
2020-09-11,417679,9628
2020-09-12,183079,4631
2020-09-13,42974,861
2020-09-13,160977,3868
2020-09-14,47459,1715
2020-09-14,114240,1799
2020-09-15,48532,945
2020-09-16,2915909,47039
2020-09-17,104844,1631
2020-09-18,901843,15964
2020-09-19,596262,12811
2020-09-19,186963,5067
2020-09-20,82358,1579
2020-09-20,1232046,38242
2020-09-21,79362,1761
2020-09-22,1328081,26986
2020-09-23,109238,1749
2020-09-23,57675,1170
2020-09-24,84662,1402
2020-09-25,421241,11750
2020-09-26,154912,2477
2020-09-27,2886866,56520
2020-09-28,168852,5765
2020-09-29,61385,1847
2020-09-29,167406,2989
2020-09-30,68238,1414
2020-10-01,123321,2993
2020-10-01,288157,4673
2020-10-02,149965,3085
2020-10-02,140164,3043
2020-10-04,192724,4547
2020-10-05,66965,1861
2020-10-05,81773,1777
2020-10-07,79796,1903
2020-10-08,1477699,25642
2020-10-08,45593,1112
2020-10-09,2269020,10136
2020-10-10,92829,1673
2020-10-10,476329,9612
2020-10-11,103864,2228
2020-10-13,3863154,63037
2020-10-14,659697,8808
2020-10-16,35644,918
2020-10-16,375877,4991
2020-10-17,165337,13300
2020-10-18,227824,3769
2020-10-19,144592,2379
2020-10-20,112872,2568
2020-10-20,138938,2276
2020-10-22,52294,1089
2020-10-23,30659,587
2020-10-23,954813,21093
2020-10-24,128803,1904
2020-10-25,41042,1133
2020-10-26,438308,11233
2020-10-27,43336,1186
2020-10-29,135555,2897
2020-10-30,37798,763
2020-11-01,42348,1022
2020-11-02,44425,1035
2020-11-03,102309,2233
2020-11-04,21176,462
2020-11-05,66819,1246
2020-11-06,136024,2760
2020-11-07,331351,5870
2020-11-08,305139,6712
2020-11-09,54455,1654
2020-11-10,70575,1690
2020-11-10,166008,2782
2020-11-11,20896,480
2020-11-11,821187,15729
2020-11-12,101643,2096
2020-11-12,253464,4883
2020-11-13,52154,865
2020-11-13,359315,8641
2020-11-14,1258768,23386
2020-11-14,212472,4600
2020-11-15,19966,359
2020-11-15,60109,1373
2020-11-16,1752434,38527
2020-11-16,524229,9202
2020-11-17,44609,817
2020-11-17,82199,1709
2020-11-18,397511,5335
2020-11-18,356484,7221
2020-11-19,32334,877
2020-11-19,75379,1465
2020-11-20,97650,2012
2020-11-21,45920,926
2020-11-21,780970,11698
2020-11-22,207923,4122
2020-11-23,143105,3183
2020-11-24,44889,1435
2020-11-25,58662,1118
2020-11-25,52458,3018
2020-11-26,145053,3918
2020-11-28,54875,1121
2020-11-29,65318,1889
2020-11-30,127721,3019
2020-11-30,316467,5577
2020-12-01,219170,5053
2020-12-01,157734,2670
2020-12-02,158533,3897
2020-12-02,659270,10275
2020-12-03,515841,15993
2020-12-03,355470,11412
2020-12-04,428141,12953
2020-12-04,1192381,18584
2020-12-05,617469,13023
2020-12-05,4169087,75947
2020-12-06,568098,21615
2020-12-06,154713,4447
2020-12-07,1244681,26008
2020-12-07,47646,1154
2020-12-08,218960,4666
2020-12-08,68886,1741
2020-12-09,517786,15352
2020-12-09,95797,1958
2020-12-10,177473,3851
2020-12-10,82514,2930
2020-12-11,2039980,40826
2020-12-11,177328,4961
2020-12-12,45143,1168
2020-12-12,65601,2359
2020-12-13,103312,2985
2020-12-13,79505,2918
2020-12-14,709384,20854
2020-12-14,114666,2902
2020-12-15,4496407,83552
2020-12-15,91050,2229
2020-12-16,36683,855
2020-12-16,48387,923
2020-12-17,391316,6704
2020-12-17,186977,5042
2020-12-18,465014,9823
2020-12-18,324962,9874
2020-12-19,68021,1806
2020-12-19,361816,11917
2020-12-20,159430,4047
2020-12-20,35696,1333
2020-12-21,245099,7023
2020-12-21,200727,3583
2020-12-21,112891,3511
2020-12-22,780997,26250
2020-12-22,633456,15231
2020-12-23,542448,12796
2020-12-23,1253849,41717
2020-12-24,19808929,470234
2020-12-25,58112,2314
2020-12-25,512801,11211
2020-12-26,648310,17006
2020-12-26,471078,9414
2020-12-27,316113,8883
2020-12-27,247091,7169
2020-12-28,74702,1872
2020-12-28,248159,7730
2020-12-29,174273,4329
2020-12-30,617075,16411
2020-12-31,191060,7571
2021-01-01,837763,22464
2021-01-01,131187,4528
2021-01-02,233841,7440
2021-01-02,5582053,180104
2021-01-03,649242,18115
2021-01-03,118418,3285
2021-01-04,215290,7524
2021-01-04,333005,8784
2021-01-05,2672259,56301
2021-01-05,141858,3981
2021-01-06,583266,17672
2021-01-06,196475,7690
2021-01-07,725314,21462
2021-01-07,415235,12337
2021-01-08,206664,3033
2021-01-08,616752,16673
2021-01-09,108328,2871
2021-01-10,922171,22134
2021-01-10,224275,5287
2021-01-11,495356,13046
2021-01-11,259362,8171
2021-01-12,282707,8604
2021-01-12,114311,3641
2021-01-13,631384,14797
2021-01-13,154829,5157
2021-01-14,114074,2785
2021-01-14,211700,4974
2021-01-15,4031686,93439
2021-01-15,174152,3519
2021-01-16,166578,3729
2021-01-16,236823,5991
2021-01-17,1371383,34952
2021-01-17,191219,5124
2021-01-18,451628,11370
2021-01-18,367896,9956
2021-01-19,143499,4545
2021-01-19,115740,3324
2021-01-20,469551,16682
2021-01-20,147893,4474
